Disease,County,Year,MALE,FEMALE
Amebiasis,SAN DIEGO,2006,14,7
Amebiasis,SAN DIEGO,2007,44,26
Amebiasis,SAN DIEGO,2008,51,43
Amebiasis,SAN DIEGO,2009,40,39
Amebiasis,SAN DIEGO,2010,41,28
Amebiasis,SAN DIEGO,2011,38,20
Amebiasis,SAN DIEGO,2012,42,22
Amebiasis,SAN DIEGO,2013,18,16
Amebiasis,SAN DIEGO,2014,38,24
Amebiasis,SAN DIEGO,2015,19,18
Amebiasis,SAN DIEGO,2016,13,5
Amebiasis,SAN DIEGO,2017,8,2
Amebiasis,SAN DIEGO,2018,6,4
Amebiasis,SAN FRANCISCO,2001,139,22
Amebiasis,SAN FRANCISCO,2002,125,16
Amebiasis,SAN FRANCISCO,2003,91,7
Amebiasis,SAN FRANCISCO,2004,84,8
